Model Year,Regulatory Class,Vehicle Type,Production Share (%),Adjusted MPG,Adjusted MPG_City,Adjusted MPG_Hwy,Adjusted CO2 (g/mi),Adjusted CO2_City (g/mi),Adjusted CO2_Hwy (g/mi),Weight (lbs),Horsepower (hp),Footprint (sq. ft.)
"2014","Truck","All Truck","40.7","20.3","17.3","23.5","437","515","379","4790","277","55"
"2014","Truck","Pickup","12.4","18","15.3","20.9","493","582","426","5485","334","66.2"
"2014","Truck","Truck SUV","23.9","21.6","18.4","24.8","412","483","359","4483","250","49.2"
"2014","Truck","Van","4.3","21.3","17.7","25","418","501","355","4489","260","55.1"
"2015","All","All","100","24.6","20.9","28.5","361","425","312","4035","229","49.4"
"2015","Car","All Car","57.4","28.2","23.9","32.7","314","371","271","3556","197","46.1"
"2015","Car","Car SUV","10.2","25.1","21.5","28.8","353","413","309","3868","202","46.4"
"2015","Car","Sedan/Wagon","47.2","29","24.5","33.7","306","363","263","3489","196","46"
"2015","Truck","All Truck","42.6","21.1","17.9","24.2","423","496","367","4680","271","53.9"
"2015","Truck","Pickup","10.7","18.8","16","21.7","474","558","410","5165","324","65.3"
"2015","Truck","Truck SUV","28.1","21.9","18.7","25.2","406","475","353","4533","254","49.4"
"2015","Truck","Van","3.9","21.8","18.3","25.4","408","486","349","4416","250","54.6"
"2016","All","All","100","24.7","21","28.5","359","422","312","4035","230","49.5"
"2016","Car","All Car","55.3","28.5","24.2","33","311","367","268","3533","196","46.1"
"2016","Car","Car SUV","11.5","26.2","22.6","29.8","338","392","298","3782","194","46.1"
"2016","Car","Sedan/Wagon","43.8","29.2","24.7","34","303","360","261","3468","197","46.2"
"2016","Truck","All Truck","44.7","21.2","18.1","24.4","420","492","365","4656","272","53.7"
"2016","Truck","Pickup","11.7","18.9","16.1","21.8","471","553","409","5150","324","64.5"
"2016","Truck","Truck SUV","29.1","22.2","19","25.4","400","467","350","4482","252","49.1"
"2016","Truck","Van","3.9","21.7","18.1","25.5","410","492","349","4459","256","55.2"
"Prelim. 2017","All","All","100","25.2","21.5","28.9","352","412","307","4044","232","49.5"
"Prelim. 2017","Car","All Car","58.1","29.1","24.9","33.4","303","355","264","3570","198","46.2"
"Prelim. 2017","Car","Car SUV","11","26","22.4","29.7","339","395","298","3913","211","46.5"
"Prelim. 2017","Car","Sedan/Wagon","47.2","30","25.6","34.5","295","346","257","3490","195","46.2"
"Prelim. 2017","Truck","All Truck","41.9","21.2","18.1","24.3","420","492","366","4703","279","54"
"Prelim. 2017","Truck","Pickup","11.9","18.9","16","21.9","470","555","407","5246","336","64.3"
"Prelim. 2017","Truck","Truck SUV","26.8","22.2","19","25.3","401","467","351","4492","256","49.2"
"Prelim. 2017","Truck","Van","3.2","22.8","19.1","26.7","390","465","333","4462","261","55.7"
