Model Year,Regulatory Class,Vehicle Type,Production Share (%),Adjusted MPG,Adjusted MPG_City,Adjusted MPG_Hwy,Adjusted CO2 (g/mi),Adjusted CO2_City (g/mi),Adjusted CO2_Hwy (g/mi),Weight (lbs),Horsepower (hp),Footprint (sq. ft.)
"1984","All","All","100","21","19.1","24","424","467","371","3262","109","-"
"1984","Car","All Car","76.5","22.4","20.2","25.9","397","441","343","3101","106","-"
"1984","Car","Car SUV","0.4","19.3","17.5","22.1","461","509","402","3487","109","-"
"1984","Car","Sedan/Wagon","76.1","22.4","20.2","26","397","441","343","3099","106","-"
"1984","Truck","All Truck","23.5","17.4","16.1","19.3","512","553","462","3787","118","-"
"1984","Truck","Pickup","14.6","18.3","16.9","20.2","488","527","441","3619","114","-"
"1984","Truck","Truck SUV","4.1","16.2","14.9","18","551","597","494","4049","122","-"
"1984","Truck","Van","4.8","16.1","15","17.7","552","594","501","4075","126","-"
"1985","All","All","100","21.3","19.3","24.4","417","461","364","3271","114","-"
"1985","Car","All Car","75.2","23","20.6","26.7","387","431","333","3096","111","-"
"1985","Car","Car SUV","0.6","20.1","17.6","24.2","443","504","367","3469","109","-"
"1985","Car","Sedan/Wagon","74.6","23","20.7","26.8","387","431","333","3093","111","-"
"1985","Truck","All Truck","24.8","17.5","16.2","19.3","509","550","460","3803","124","-"
"1985","Truck","Pickup","14.4","18.2","16.9","20.1","489","526","443","3642","123","-"
"1985","Truck","Truck SUV","4.5","16.5","15.1","18.7","538","590","475","4092","123","-"
"1985","Truck","Van","5.9","16.5","15.5","18.1","537","575","491","3975","129","-"
"1986","All","All","100","21.8","19.8","25","407","450","356","3238","114","-"
"1986","Car","All Car","72.1","23.7","21.2","27.6","375","420","322","3043","111","-"
"1986","Car","Car SUV","0.4","18.9","17.1","21.7","470","519","410","3479","121","-"
"1986","Car","Sedan/Wagon","71.7","23.7","21.2","27.6","375","419","322","3041","111","-"
"1986","Truck","All Truck","27.9","18.2","16.8","20.1","489","529","442","3741","123","-"
"1986","Truck","Pickup","16.5","18.9","17.5","20.8","471","509","427","3574","120","-"
"1986","Truck","Truck SUV","4.6","17","15.6","19.1","523","569","467","3958","128","-"
"1986","Truck","Van","6.8","17.5","16.1","19.4","509","551","459","3998","127","-"
"1987","All","All","100","22","19.8","25.3","405","450","352","3221","118","-"
"1987","Car","All Car","72.8","23.8","21.2","27.7","374","420","321","3035","113","-"
"1987","Car","Car SUV","0.6","19.4","17.1","23.1","458","519","385","3492","131","-"
"1987","Car","Sedan/Wagon","72.2","23.8","21.2","27.7","373","419","320","3031","112","-"
"1987","Truck","All Truck","27.2","18.3","16.8","20.4","486","531","435","3718","131","-"
"1987","Truck","Pickup","14.4","19","17.5","21.2","467","508","419","3526","123","-"
"1987","Truck","Truck SUV","5.2","17.3","15.8","19.5","515","565","457","3882","137","-"
"1987","Truck","Van","7.5","17.7","16.2","19.8","503","550","449","3972","142","-"
"1988","All","All","100","21.9","19.6","25.2","407","454","353","3283","123","-"
"1988","Car","All Car","70.9","24.1","21.4","28.1","369","416","316","3051","116","-"
"1988","Car","Car SUV","0.7","19.2","17.1","22.5","462","521","394","3495","142","-"
"1988","Car","Sedan/Wagon","70.2","24.1","21.4","28.2","368","415","315","3047","116","-"
"1988","Truck","All Truck","29.1","17.8","16.2","20.1","498","548","442","3850","141","-"
"1988","Truck","Pickup","16.1","18.1","16.5","20.4","490","538","436","3737","138","-"
"1988","Truck","Truck SUV","5.6","17","15.5","19.2","522","574","464","3906","144","-"
"1988","Truck","Van","7.4","17.9","16.2","20.3","497","550","437","4053","147","-"
"1989","All","All","100","21.4","19.1","24.8","415","466","359","3351","129","-"
"1989","Car","All Car","70.1","23.6","20.8","27.8","376","426","320","3104","121","-"
"1989","Car","Car SUV","0.7","19.1","17.1","22.1","465","521","403","3497","148","-"
"1989","Car","Sedan/Wagon","69.3","23.7","20.9","27.9","375","425","319","3099","121","-"
"1989","Truck","All Truck","29.9","17.6","15.9","19.8","506","558","449","3932","146","-"
"1989","Truck","Pickup","15.4","17.8","16.2","20","499","549","444","3803","143","-"
"1989","Truck","Truck SUV","5.7","16.6","15","18.6","537","591","477","4086","156","-"
"1989","Truck","Van","8.8","17.8","16.1","20.2","499","554","440","4057","146","-"
"1990","All","All","100","21.2","18.7","24.6","420","475","361","3426","135","-"
"1990","Car","All Car","70.4","23.3","20.4","27.4","382","435","324","3178","129","-"
"1990","Car","Car SUV","0.5","18.8","16.9","21.5","472","526","413","3518","146","-"
"1990","Car","Sedan/Wagon","69.8","23.3","20.5","27.5","381","434","323","3176","129","-"
"1990","Truck","All Truck","29.6","17.4","15.6","19.8","512","569","450","4014","151","-"
"1990","Truck","Pickup","14.5","17.4","15.7","19.7","511","567","450","3928","152","-"
"1990","Truck","Truck SUV","5.1","16.4","14.8","18.6","541","601","477","4098","155","-"
"1990","Truck","Van","10","17.8","16","20.4","498","557","435","4095","149","-"
"1991","All","All","100","21.3","18.8","24.7","418","474","360","3410","138","-"
"1991","Car","All Car","69.6","23.3","20.4","27.4","382","437","325","3168","133","-"
"1991","Car","Car SUV","1.8","18.2","16.4","20.5","488","541","433","3733","145","-"
"1991","Car","Sedan/Wagon","67.8","23.4","20.5","27.6","379","434","322","3154","132","-"
"1991","Truck","All Truck","30.4","17.8","15.9","20.2","500","559","439","3961","150","-"
"1991","Truck","Pickup","15.3","18.2","16.3","20.7","489","545","429","3779","146","-"
"1991","Truck","Truck SUV","6.9","16.7","15","19.1","531","593","466","4157","162","-"
"1991","Truck","Van","8.2","17.9","16","20.5","496","555","435","4133","149","-"
"1992","All","All","100","20.8","18.2","24.4","427","488","365","3512","145","-"
"1992","Car","All Car","68.6","22.9","19.8","27.2","389","448","327","3254","141","-"
"1992","Car","Car SUV","2","17.8","16.1","20.1","498","553","442","3713","153","-"
"1992","Car","Sedan/Wagon","66.6","23.1","20","27.5","385","445","324","3240","141","-"
"1992","Truck","All Truck","31.4","17.3","15.4","19.9","512","576","447","4078","155","-"
"1992","Truck","Pickup","15.1","17.5","15.5","20","508","572","443","3976","151","-"
"1992","Truck","Truck SUV","6.2","16.2","14.5","18.5","548","615","481","4204","170","-"
"1992","Truck","Van","10","17.9","15.9","20.5","496","557","433","4151","152","-"
"1993","All","All","100","20.9","18.2","24.4","426","488","364","3519","147","-"
"1993","Car","All Car","67.6","23","19.9","27.3","386","447","326","3241","140","-"
"1993","Car","Car SUV","3.6","17","15","19.6","522","591","453","3848","179","-"
"1993","Car","Sedan/Wagon","64","23.5","20.3","27.9","379","439","319","3207","138","-"
"1993","Truck","All Truck","32.4","17.5","15.5","20.1","507","573","442","4098","160","-"
"1993","Truck","Pickup","15.2","17.6","15.6","20.2","505","570","441","3996","156","-"
"1993","Truck","Truck SUV","6.3","16.3","14.5","18.6","546","613","478","4331","179","-"
"1993","Truck","Van","10.9","18.2","16","21","488","554","422","4105","155","-"
"1994","All","All","100","20.4","17.8","23.8","436","500","374","3603","152","-"
"1994","Car","All Car","61.9","23","19.8","27.4","386","449","325","3268","144","-"
"1994","Car","Car SUV","2.3","18","16.1","20.5","493","553","434","3735","163","-"
"1994","Car","Sedan/Wagon","59.6","23.3","20","27.7","382","444","321","3250","143","-"
"1994","Truck","All Truck","38.1","17.2","15.2","19.6","518","584","453","4149","166","-"
"1994","Truck","Pickup","18.9","17.4","15.5","19.9","510","574","446","4056","163","-"
"1994","Truck","Truck SUV","9.1","16","14.3","18.2","555","623","489","4331","180","-"
"1994","Truck","Van","10","17.8","15.7","20.5","498","565","433","4156","159","-"
"1995","All","All","100","20.5","17.7","24.1","434","501","369","3613","158","-"
"1995","Car","All Car","63.5","23.3","19.8","27.9","382","448","319","3274","153","-"
"1995","Car","Car SUV","1.5","17.8","15.7","20.5","499","567","434","3763","165","-"
"1995","Car","Sedan/Wagon","62","23.4","20","28.1","379","445","316","3263","152","-"
"1995","Truck","All Truck","36.5","17","14.9","19.4","524","595","457","4201","168","-"
"1995","Truck","Pickup","15","16.9","14.9","19.3","526","596","460","4182","167","-"
"1995","Truck","Truck SUV","10.5","16","14.2","18.2","555","626","489","4323","177","-"
"1995","Truck","Van","11","18.1","15.8","21","492","563","423","4110","159","-"
"1996","All","All","100","20.4","17.6","24","435","505","370","3659","164","-"
